Mahsulot turi,Y,wheat,barley,corn,rice,legumes,potato ,"Sabzavotlar ? jami , ming tonna","pomidor, ming tonna","bodring, ming tonna","sabzi, ming tonna","piyoz, ming tonna","sarimsoq, ming tonna","karam, ming tonna","Oziqbop poliz, ming tonna","Mevalar va rezavorlar - jami, ming tonna","danaklilar, jami, ming tonna","yong?oq mevalilar, jami, ming tonna","subtropik mevalar, jami","sitrus mevalar, ming tonna","Uzum, ming tonna","So?yish uchun yetishtirilgan mollar va parrandalar  ? jami (tirik vaznda), ming tonna","yirik shoxli qoramollar, tirik vaznda, ming tonna","qo?ylar va echkilar, tirik vaznda, ming tonna","cho?chqalar,tirik vaznda, ming tonna","parrandalar,tirik vaznda, ming tonna","boshqa turdagi mollar (otlar, tuyalar, quyonlar va boshqalar), ming tonna","Sut  ? jami, ming tonna","shundan: sigir suti, ming tonna","Olingan tuxum  ? jami, mln. dona","shundan: tovuq tuxumi, mln. dona","Asal, tonna","Qirqib olingan jun, tonna","Olingan qorako?l terilar, ming dona","Pilla, tonna"
2012 y.,55750,6612.2,141.4,328.1,325.7,46.7,2036.3,7459.1,2124.7,610.6,1558.8,1009.5,139.9,705.5,1418,1982,793.2,50,128.7,2,1179.9,1672.9,1264.6,314,21.6,60.5,12.2,7310.9,7240.2,3873.7,3846.7,4887.5,31069,1116.9,25011.7
2013 y.,66435.3,6842,135.8,360.1,340.2,62.4,2216.5,8087.9,2246.9,607.4,1641.9,1066.6,203.6,904.6,1558,2144,869.1,66.4,140.3,2.6,1294,1787.8,1340.1,343.3,23.3,66.9,14.2,7885.5,7845.4,4388.1,4330.1,7196,32448,1062.1,25445.3
2014 y.,81794.3,6956,139.6,411.6,356.1,70.7,2399.2,8753.9,2285.8,718.6,1791.5,1068.3,154.1,1003.7,1696,2307,973.8,74.1,132.5,3.5,1397,1906.3,1427.4,363.6,21.6,79.4,14.3,8431.6,8404.3,4950,4929.9,8750.7,34403,1061.3,26115.8
2015 y.,99604.6,6964.7,151.6,439.6,425.7,76.4,2586.8,9390,2562.3,840.2,2055.4,1206.6,165.8,952.6,1854,2468,1042.8,87.3,141.3,4.8,1518.2,2033.4,1517.1,386.8,22.5,90.7,16.3,9027.8,8994.8,5535.4,5514.9,10157,36029,1032,26293
2016 y.,115599.2,6934.9,167.4,491.9,452,98.4,2789.5,10184,2796.2,939.9,2149.9,1273.5,200.9,1094,2045,2613,1118.8,99.4,160.2,5.8,1613.1,2172.5,1616.4,415.9,23.8,99.7,16.7,9703.4,9663.2,6152.5,6126.3,12050,37103,1055.4,26355.6
2017 y.,148199.3,6079.2,134.3,389.4,395.4,212.5,2793.7,10219.9,2455.1,813.6,2249.7,995.1,214.3,904.5,2031,2615,1060.6,111,142.6,3.4,1625.5,2286.8,1682.5,431,23.9,133.5,15.9,10047.9,10005.5,6332.7,6299.7,11737.6,36360,1075.1,12480.3
2018 y.,187425.6,5410.8,111.8,413.2,221.1,260,2911.9,9760.3,2284.2,857.1,2185.1,1464.5,254.9,743.4,1837,2706,1052.1,85.7,163.3,11.9,1589.8,2430.5,1829.5,409.4,3.6,173,15,10466.4,10415.7,7459.3,7425.6,12578.4,34615,1085.2,17912.3
2019 y.,216283.1,6093.5,133.5,421.3,314.7,339.6,3089.7,10215.1,2145.1,853.1,2768.6,1233,214.8,703.4,2069,2753,1109.8,90.6,190.4,9.5,1603.3,2473.6,1869.5,381.5,3.8,205.2,13.6,10714.3,10662.3,7771.2,7723.7,13001.7,35115,1150.7,21374.1
2020 y.,250250.6,6157.8,161.5,475.3,293.5,401.6,3143.8,10431.4,1928.5,812.7,2876,1256.1,223.7,658.6,2134,2813,1125.5,111.6,198.2,10,1606.9,2519.6,1925.9,394.8,3.9,181.1,13.9,10976.9,10930.1,7781.2,7742.9,13357.8,35422,1152.1,20941.9
2021 y.,303415.5,5984.8,95.8,590,334.2,439.8,3285.6,10850.2,2206.6,890.4,3155.7,1200,195.5,680.6,2285.3,2853,1073,108.6,197.8,9.9,1695.3,2635.1,1987.5,409.6,3.2,220.7,14.1,11274.2,11242.7,7788.4,7749.4,14066.9,36345,1252.4,22769.9
2022 y. ,126769.6,4899.3,111.4,44,325.7,29.1,1617,3226.7,x,x,x,x,x,x,229.8,971.9,x,x,x,x,48.1,1221.6,x,x,x,x,x,5141.7,x,3418.9,x,5962,20761,929.4,24230.2
